date month year variable value units
7/1/2029 7 1929 TLG 0.04074 MAF
8/1/2029 8 1929 TLG 0.00457 MAF
9/1/2029 9 1929 TLG 0 MAF
10/1/2029 10 1929 TLG 0.00186 MAF
11/1/2029 11 1929 TLG 0.00124 MAF
12/1/2029 12 1929 TLG 0.02303 MAF
1/1/1930 1 1930 TLG 0.03903 MAF
2/1/1930 2 1930 TLG 0.07006 MAF
3/1/1930 3 1930 TLG 0.14657 MAF
4/1/1930 4 1930 TLG 0.24592 MAF
5/1/1930 5 1930 TLG 0.2748 MAF
6/1/1930 6 1930 TLG 0.28623 MAF
7/1/1930 7 1930 TLG 0.04884 MAF
8/1/1930 8 1930 TLG 0.00999 MAF
9/1/1930 9 1930 TLG 0 MAF
10/1/1930 10 1930 TLG 0.00902 MAF
11/1/1930 11 1930 TLG 0.02037 MAF
12/1/1930 12 1930 TLG 0.01072 MAF
1/1/1931 1 1931 TLG 0.02609 MAF
2/1/1931 2 1931 TLG 0.04449 MAF
3/1/1931 3 1931 TLG 0.06627 MAF
4/1/1931 4 1931 TLG 0.15403 MAF
5/1/1931 5 1931 TLG 0.20932 MAF
6/1/1931 6 1931 TLG 0.04901 MAF
7/1/1931 7 1931 TLG 0.01022 MAF
8/1/1931 8 1931 TLG 0.00094 MAF
9/1/1931 9 1931 TLG 0.00181 MAF
10/1/1931 10 1931 TLG 0.00168 MAF
11/1/1931 11 1931 TLG 0.00604 MAF
12/1/1931 12 1931 TLG 0.09366 MAF
1/1/1932 1 1932 TLG 0.07937 MAF
2/1/1932 2 1932 TLG 0.2402 MAF
3/1/1932 3 1932 TLG 0.17159 MAF
4/1/1932 4 1932 TLG 0.24505 MAF
5/1/1932 5 1932 TLG 0.52415 MAF
6/1/1932 6 1932 TLG 0.53266 MAF
7/1/1932 7 1932 TLG 0.17584 MAF
8/1/1932 8 1932 TLG 0.03197 MAF
9/1/1932 9 1932 TLG 0.01204 MAF
10/1/1932 10 1932 TLG 0.00572 MAF
11/1/1932 11 1932 TLG 0.0032 MAF
12/1/1932 12 1932 TLG 0.01086 MAF
1/1/1933 1 1933 TLG 0.0269 MAF
2/1/1933 2 1933 TLG 0.03148 MAF
3/1/1933 3 1933 TLG 0.08259 MAF
4/1/1933 4 1933 TLG 0.17094 MAF
5/1/1933 5 1933 TLG 0.25082 MAF
6/1/1933 6 1933 TLG 0.42615 MAF
7/1/1933 7 1933 TLG 0.0751 MAF
8/1/1933 8 1933 TLG 0.01607 MAF
9/1/1933 9 1933 TLG 0.00454 MAF
10/1/1933 10 1933 TLG 0 MAF
11/1/1933 11 1933 TLG 0.00796 MAF
12/1/1933 12 1933 TLG 0.04085 MAF
1/1/1934 1 1934 TLG 0.06491 MAF
2/1/1934 2 1934 TLG 0.08998 MAF
3/1/1934 3 1934 TLG 0.15025 MAF
4/1/1934 4 1934 TLG 0.18639 MAF
5/1/1934 5 1934 TLG 0.14904 MAF
6/1/1934 6 1934 TLG 0.09509 MAF
7/1/1934 7 1934 TLG 0.01207 MAF
8/1/1934 8 1934 TLG 0.00611 MAF
9/1/1934 9 1934 TLG 0.00457 MAF
10/1/1934 10 1934 TLG 0.01118 MAF
11/1/1934 11 1934 TLG 0.04762 MAF
12/1/1934 12 1934 TLG 0.05195 MAF
1/1/1935 1 1935 TLG 0.1059 MAF
2/1/1935 2 1935 TLG 0.10727 MAF
3/1/1935 3 1935 TLG 0.13689 MAF
4/1/1935 4 1935 TLG 0.46549 MAF
5/1/1935 5 1935 TLG 0.5307 MAF
6/1/1935 6 1935 TLG 0.51148 MAF
7/1/1935 7 1935 TLG 0.10959 MAF
8/1/1935 8 1935 TLG 0.02073 MAF
9/1/1935 9 1935 TLG 0.00407 MAF
10/1/1935 10 1935 TLG 0.01159 MAF
11/1/1935 11 1935 TLG 0.01959 MAF
12/1/1935 12 1935 TLG 0.01816 MAF
1/1/1936 1 1936 TLG 0.10479 MAF
2/1/1936 2 1936 TLG 0.35198 MAF
